insert into payments (customer_id, payment_date, amount, due_date) values (78, '2023-10-02', 356, '2022-12-24');
insert into payments (customer_id, payment_date, amount, due_date) values (137, '2023-07-12', 610, '2023-10-26');
insert into payments (customer_id, payment_date, amount, due_date) values (39, '2023-03-26', 918, '2023-04-24');
insert into payments (customer_id, payment_date, amount, due_date) values (9, '2023-08-07', 267, '2023-06-04');
insert into payments (customer_id, payment_date, amount, due_date) values (21, '2023-09-20', 526, '2023-03-12');
insert into payments (customer_id, payment_date, amount, due_date) values (60, '2023-04-28', 12, '2022-11-12');
insert into payments (customer_id, payment_date, amount, due_date) values (113, '2023-03-27', 51, '2022-11-16');
insert into payments (customer_id, payment_date, amount, due_date) values (188, '2022-11-18', 830, '2023-01-22');
insert into payments (customer_id, payment_date, amount, due_date) values (151, '2023-08-09', 235, '2022-11-06');
insert into payments (customer_id, payment_date, amount, due_date) values (16, '2023-08-19', 169, '2023-01-15');
insert into payments (customer_id, payment_date, amount, due_date) values (154, '2023-01-15', 838, '2023-05-09');
insert into payments (customer_id, payment_date, amount, due_date) values (163, '2023-01-29', 585, '2022-12-31');
insert into payments (customer_id, payment_date, amount, due_date) values (127, '2022-12-07', 411, '2023-08-19');
insert into payments (customer_id, payment_date, amount, due_date) values (162, '2023-09-20', 271, '2022-10-31');
insert into payments (customer_id, payment_date, amount, due_date) values (168, '2023-02-26', 666, '2023-02-19');
insert into payments (customer_id, payment_date, amount, due_date) values (56, '2023-10-24', 715, '2023-07-26');
insert into payments (customer_id, payment_date, amount, due_date) values (103, '2022-11-11', 171, '2023-03-25');
insert into payments (customer_id, payment_date, amount, due_date) values (95, '2023-10-30', 532, '2023-08-28');
insert into payments (customer_id, payment_date, amount, due_date) values (168, '2023-03-04', 494, '2022-11-29');
insert into payments (customer_id, payment_date, amount, due_date) values (26, '2022-11-28', 880, '2023-06-30');
insert into payments (customer_id, payment_date, amount, due_date) values (131, '2023-01-16', 103, '2022-12-05');
insert into payments (customer_id, payment_date, amount, due_date) values (109, '2022-11-25', 483, '2023-07-11');
insert into payments (customer_id, payment_date, amount, due_date) values (12, '2023-01-26', 752, '2023-06-24');
insert into payments (customer_id, payment_date, amount, due_date) values (111, '2023-04-20', 530, '2023-10-17');
insert into payments (customer_id, payment_date, amount, due_date) values (88, '2023-02-11', 708, '2022-11-03');
insert into payments (customer_id, payment_date, amount, due_date) values (127, '2023-01-20', 650, '2023-08-02');
insert into payments (customer_id, payment_date, amount, due_date) values (6, '2023-05-16', 901, '2023-01-14');
insert into payments (customer_id, payment_date, amount, due_date) values (67, '2022-12-06', 804, '2023-06-13');
insert into payments (customer_id, payment_date, amount, due_date) values (22, '2023-01-17', 331, '2022-11-03');
insert into payments (customer_id, payment_date, amount, due_date) values (80, '2022-12-31', 956, '2023-03-15');
insert into payments (customer_id, payment_date, amount, due_date) values (120, '2022-11-15', 148, '2023-06-29');
insert into payments (customer_id, payment_date, amount, due_date) values (61, '2023-06-28', 67, '2023-07-31');
insert into payments (customer_id, payment_date, amount, due_date) values (63, '2022-12-24', 950, '2023-09-19');
insert into payments (customer_id, payment_date, amount, due_date) values (57, '2023-01-21', 306, '2022-12-28');
insert into payments (customer_id, payment_date, amount, due_date) values (26, '2023-04-25', 45, '2023-09-06');
insert into payments (customer_id, payment_date, amount, due_date) values (101, '2023-06-02', 153, '2023-06-11');
insert into payments (customer_id, payment_date, amount, due_date) values (71, '2023-09-23', 511, '2023-10-21');
insert into payments (customer_id, payment_date, amount, due_date) values (149, '2022-12-21', 797, '2023-07-28');
insert into payments (customer_id, payment_date, amount, due_date) values (88, '2023-02-10', 212, '2023-05-30');
insert into payments (customer_id, payment_date, amount, due_date) values (32, '2023-04-13', 509, '2022-11-19');
insert into payments (customer_id, payment_date, amount, due_date) values (137, '2022-11-30', 274, '2023-06-22');
insert into payments (customer_id, payment_date, amount, due_date) values (137, '2022-12-16', 775, '2023-05-31');
insert into payments (customer_id, payment_date, amount, due_date) values (152, '2022-11-04', 501, '2023-01-03');
insert into payments (customer_id, payment_date, amount, due_date) values (107, '2023-07-27', 654, '2023-07-06');
insert into payments (customer_id, payment_date, amount, due_date) values (144, '2023-08-14', 505, '2023-04-14');
insert into payments (customer_id, payment_date, amount, due_date) values (31, '2023-10-02', 794, '2023-06-27');
insert into payments (customer_id, payment_date, amount, due_date) values (92, '2023-07-28', 557, '2023-02-15');
insert into payments (customer_id, payment_date, amount, due_date) values (65, '2022-12-29', 47, '2023-02-16');
insert into payments (customer_id, payment_date, amount, due_date) values (180, '2022-12-13', 873, '2023-04-29');
insert into payments (customer_id, payment_date, amount, due_date) values (109, '2022-12-29', 554, '2023-05-06');
insert into payments (customer_id, payment_date, amount, due_date) values (53, '2023-02-24', 123, '2023-02-11');
insert into payments (customer_id, payment_date, amount, due_date) values (199, '2023-07-03', 565, '2023-03-19');
insert into payments (customer_id, payment_date, amount, due_date) values (5, '2023-01-07', 534, '2023-07-11');
insert into payments (customer_id, payment_date, amount, due_date) values (175, '2023-04-20', 900, '2023-06-10');
insert into payments (customer_id, payment_date, amount, due_date) values (163, '2023-03-05', 643, '2023-06-16');
insert into payments (customer_id, payment_date, amount, due_date) values (198, '2022-11-05', 48, '2022-11-20');
insert into payments (customer_id, payment_date, amount, due_date) values (172, '2023-10-13', 798, '2023-08-08');
insert into payments (customer_id, payment_date, amount, due_date) values (20, '2023-06-24', 498, '2023-01-21');
insert into payments (customer_id, payment_date, amount, due_date) values (38, '2023-02-07', 823, '2023-05-18');
insert into payments (customer_id, payment_date, amount, due_date) values (137, '2023-09-02', 223, '2023-07-03');
insert into payments (customer_id, payment_date, amount, due_date) values (11, '2023-03-15', 291, '2023-01-18');
insert into payments (customer_id, payment_date, amount, due_date) values (8, '2023-03-21', 505, '2023-04-19');
insert into payments (customer_id, payment_date, amount, due_date) values (95, '2023-09-20', 502, '2023-09-23');
insert into payments (customer_id, payment_date, amount, due_date) values (96, '2023-03-31', 585, '2023-01-05');
insert into payments (customer_id, payment_date, amount, due_date) values (139, '2023-09-27', 209, '2023-06-14');
insert into payments (customer_id, payment_date, amount, due_date) values (158, '2023-02-28', 805, '2023-05-21');
insert into payments (customer_id, payment_date, amount, due_date) values (161, '2023-09-13', 919, '2023-03-05');
insert into payments (customer_id, payment_date, amount, due_date) values (99, '2023-10-23', 107, '2022-12-13');
insert into payments (customer_id, payment_date, amount, due_date) values (53, '2023-03-10', 851, '2023-08-11');
insert into payments (customer_id, payment_date, amount, due_date) values (143, '2022-12-16', 288, '2023-10-17');
insert into payments (customer_id, payment_date, amount, due_date) values (111, '2023-07-20', 454, '2023-01-27');
insert into payments (customer_id, payment_date, amount, due_date) values (113, '2023-02-04', 901, '2023-07-27');
insert into payments (customer_id, payment_date, amount, due_date) values (43, '2023-08-20', 441, '2023-02-26');
insert into payments (customer_id, payment_date, amount, due_date) values (89, '2023-03-01', 280, '2023-10-09');
insert into payments (customer_id, payment_date, amount, due_date) values (192, '2023-05-26', 800, '2023-07-24');
insert into payments (customer_id, payment_date, amount, due_date) values (77, '2023-04-21', 729, '2022-11-14');
insert into payments (customer_id, payment_date, amount, due_date) values (89, '2023-07-08', 37, '2023-05-17');
insert into payments (customer_id, payment_date, amount, due_date) values (50, '2023-05-13', 986, '2023-10-04');
insert into payments (customer_id, payment_date, amount, due_date) values (200, '2023-07-09', 435, '2023-01-21');
insert into payments (customer_id, payment_date, amount, due_date) values (155, '2023-06-18', 375, '2023-09-06');
insert into payments (customer_id, payment_date, amount, due_date) values (153, '2023-08-18', 129, '2023-01-23');
insert into payments (customer_id, payment_date, amount, due_date) values (5, '2023-08-02', 882, '2023-07-29');
insert into payments (customer_id, payment_date, amount, due_date) values (61, '2023-07-24', 183, '2022-11-11');
insert into payments (customer_id, payment_date, amount, due_date) values (2, '2023-08-24', 517, '2023-06-08');
insert into payments (customer_id, payment_date, amount, due_date) values (10, '2023-10-20', 917, '2023-04-06');
insert into payments (customer_id, payment_date, amount, due_date) values (19, '2023-05-20', 485, '2022-11-02');
insert into payments (customer_id, payment_date, amount, due_date) values (178, '2023-08-24', 77, '2023-09-20');
insert into payments (customer_id, payment_date, amount, due_date) values (193, '2023-01-01', 980, '2023-01-28');
insert into payments (customer_id, payment_date, amount, due_date) values (64, '2023-01-28', 988, '2023-03-02');
insert into payments (customer_id, payment_date, amount, due_date) values (175, '2023-03-31', 351, '2023-04-26');
insert into payments (customer_id, payment_date, amount, due_date) values (194, '2023-01-20', 554, '2023-08-22');
insert into payments (customer_id, payment_date, amount, due_date) values (37, '2023-01-31', 648, '2023-05-02');
insert into payments (customer_id, payment_date, amount, due_date) values (31, '2023-03-08', 462, '2023-01-11');
insert into payments (customer_id, payment_date, amount, due_date) values (192, '2023-03-21', 50, '2023-06-29');
insert into payments (customer_id, payment_date, amount, due_date) values (97, '2023-06-17', 455, '2023-09-05');
insert into payments (customer_id, payment_date, amount, due_date) values (98, '2023-03-09', 243, '2022-12-03');
insert into payments (customer_id, payment_date, amount, due_date) values (47, '2023-03-04', 596, '2023-06-07');
insert into payments (customer_id, payment_date, amount, due_date) values (147, '2023-08-03', 808, '2023-02-04');
insert into payments (customer_id, payment_date, amount, due_date) values (105, '2023-02-28', 942, '2022-11-11');
insert into payments (customer_id, payment_date, amount, due_date) values (4, '2023-09-06', 238, '2022-11-16');
insert into payments (customer_id, payment_date, amount, due_date) values (87, '2023-04-19', 382, '2023-03-11');
insert into payments (customer_id, payment_date, amount, due_date) values (200, '2023-09-24', 675, '2023-10-23');
insert into payments (customer_id, payment_date, amount, due_date) values (125, '2022-12-28', 710, '2023-06-22');
insert into payments (customer_id, payment_date, amount, due_date) values (85, '2023-03-04', 537, '2022-11-21');
insert into payments (customer_id, payment_date, amount, due_date) values (71, '2023-06-20', 936, '2023-09-10');
insert into payments (customer_id, payment_date, amount, due_date) values (81, '2023-03-13', 177, '2022-11-19');
insert into payments (customer_id, payment_date, amount, due_date) values (96, '2023-05-11', 916, '2022-11-26');
insert into payments (customer_id, payment_date, amount, due_date) values (166, '2022-12-11', 623, '2023-06-08');
insert into payments (customer_id, payment_date, amount, due_date) values (1, '2023-05-11', 800, '2022-11-02');
insert into payments (customer_id, payment_date, amount, due_date) values (57, '2023-02-05', 109, '2023-09-21');
insert into payments (customer_id, payment_date, amount, due_date) values (179, '2023-07-16', 90, '2022-11-16');
insert into payments (customer_id, payment_date, amount, due_date) values (70, '2023-09-26', 426, '2023-01-11');
insert into payments (customer_id, payment_date, amount, due_date) values (76, '2022-12-23', 581, '2022-12-19');
insert into payments (customer_id, payment_date, amount, due_date) values (199, '2023-07-27', 819, '2023-05-14');
insert into payments (customer_id, payment_date, amount, due_date) values (23, '2023-03-20', 22, '2023-04-25');
insert into payments (customer_id, payment_date, amount, due_date) values (6, '2022-11-12', 33, '2023-08-22');
insert into payments (customer_id, payment_date, amount, due_date) values (120, '2023-09-29', 855, '2023-07-07');
insert into payments (customer_id, payment_date, amount, due_date) values (46, '2023-08-05', 50, '2023-04-16');
insert into payments (customer_id, payment_date, amount, due_date) values (88, '2023-04-03', 411, '2023-03-13');
insert into payments (customer_id, payment_date, amount, due_date) values (65, '2023-10-02', 937, '2023-01-24');
insert into payments (customer_id, payment_date, amount, due_date) values (109, '2023-03-13', 15, '2023-09-08');
insert into payments (customer_id, payment_date, amount, due_date) values (126, '2023-07-15', 876, '2023-04-01');
insert into payments (customer_id, payment_date, amount, due_date) values (142, '2023-08-03', 955, '2023-02-11');
insert into payments (customer_id, payment_date, amount, due_date) values (200, '2023-01-10', 400, '2023-08-07');
insert into payments (customer_id, payment_date, amount, due_date) values (199, '2023-05-08', 810, '2023-02-16');
insert into payments (customer_id, payment_date, amount, due_date) values (9, '2023-08-18', 273, '2022-12-27');
insert into payments (customer_id, payment_date, amount, due_date) values (139, '2023-06-17', 839, '2023-09-02');
insert into payments (customer_id, payment_date, amount, due_date) values (113, '2023-10-15', 354, '2023-08-31');
